Title: Health Insurance Coverage of the Total Population | KFF,,,,,,,,
Timeframe: 2015,,,,,,,,
Location,Employer,Non-Group,Medicaid,Medicare,Military,Uninsured,Total,Footnotes
Wisconsin,3153600,348600,959000,793500,41800,324300,5620900,
Wyoming,309000,44800,69100,72900,13800,59300,568900,
Puerto Rico,869600,252600,1673300,434500,18100,195100,3443200,
,,,,,,,,
Notes,,,,,,,,
"For more current data using the Current Population Survey, see [Health Insurance Coverage of the Total Population (CPS)](https://www.kff.org/other/state-indicator/health-insurance-coverage-of-the-total-population-cps/). ",,,,,,,,
,,,,,,,,
The majority of our health coverage topics are based on analysis of the Census Bureau’s American Community Survey (ACS) by KFF. ACS includes a 1% sample of the US population and allows for precise state-level estimates.   ,,,,,,,,
,,,,,,,,
"The ACS asks respondents about their health insurance coverage at the time of the survey. Respondents may report having more than one type of coverage; however, individuals are sorted into only one category of insurance coverage. See definitions for more detail on coverage type.",,,,,,,,
,,,,,,,,
"* The count of people with Medicare excludes those who report having both Medicare and Medicaid coverage, also known as dual eligibles. If these individuals were instead categorized as having Medicare, the total number of people with Medicare would increase as follows:",,,,,,,,
"     - 2019: from 45,286,700 to 56,182,200",,,,,,,,
"     - 2018: from 43,837,300 to 54,685,100",,,,,,,,
"     - 2017: from 42,802,900 to 53,401,400",,,,,,,,
"     - 2016: from 41,628,600 to 52,099,100",,,,,,,,
"     - 2015: from 40,558,200 to 50,747,800",,,,,,,,
"     - 2014: from 39,364,700 to 49,231,400",,,,,,,,
"     - 2013: from 37,939,800 to 47,515,000",,,,,,,,
"     - 2012: from 36,470,400 to 46,081,400",,,,,,,,
"     - 2011: from 35,074,700 to 44,427,200",,,,,,,,
"     - 2010: from 34,335,100 to 43,246,000",,,,,,,,
"     - 2009: from 33,037,500 to 41,876,400",,,,,,,,
"     - 2008: from 32,115,800 to 39,037,500",,,,,,,,
,,,,,,,,
Data may not sum to totals due to rounding.,,,,,,,,
,,,,,,,,
Sources,,,,,,,,
"KFF estimates based on the 2008-2019 American Community Survey, 1-Year Estimates.",,,,,,,,
,,,,,,,,
Definitions,,,,,,,,
"The ACS asks respondents about their health insurance coverage throughout the previous calendar year. Respondents may report having more than one type of coverage. In this analysis, individuals are sorted into only one category of insurance coverage using the following hierarchy:",,,,,,,,
,,,,,,,,
"*Medicaid*: Includes those covered by Medicaid, Medical Assistance, Children's Health Insurance Plan (CHIP) or any kind of government-assistance plan for those with low incomes or a disability, as well as those who have both Medicaid and another type of coverage, such as dual eligibles who are also covered by Medicare.",,,,,,,,
"",,,,,,,,
"*Medicare*:  Includes those covered by Medicare, Medicare Advantage, and those who have Medicare and another type of non-Medicaid coverage where Medicare appears to be the primary payer. Excludes seniors who also report employer-sponsored coverage and full-time work, and those covered by Medicare and Medicaid (dual eligibles).",,,,,,,,
"",,,,,,,,
"*Employer*: Includes those covered through a current or former employer or union, either as policyholder or as dependent",,,,,,,,
"",,,,,,,,
"*Military*: Includes those covered under the military or Veterans Administration",,,,,,,,
"",,,,,,,,
"*Non-Group*: Includes those covered by a policy purchased directly from an insurance company, etiher as policyholder or as dependent",,,,,,,,
"",,,,,,,,
"*Uninsured*: Includes those without health insurance and those who have coverage under the Indian Health Service only.",,,,,,,,
"",,,,,,,,
*N/A*: Estimates with relative standard errors greater than 30% are not provided.,,,,,,,,
,,,,,,,,
,,,,,,,,
Footnotes,,,,,,,,
1. US total excludes Puerto Rico.,,,,,,,,
