Title: Health Insurance Coverage of the Total Population (CPS) | KFF,,,,,,,
Timeframe: 2016,,,,,,,
Location,Employer,Non-Group,Medicaid,Medicare,Military,Uninsured,Total
Oklahoma,1863700,226600,660700,625900,99100,442000,3918000
Oregon,1943400,323100,912500,679900,44900,229800,4133700
Pennsylvania,6878400,671400,2194100,2069200,188500,545700,12547300
Rhode Island,554300,65800,207500,160000,N/A,49000,1051800
South Carolina,2333900,333700,851200,808700,146500,416900,4890900
South Dakota,433000,73400,116900,142300,21800,64800,852200
Tennessee,3231400,309500,1259600,1003000,N/A,690600,6650900
Texas,13746600,1597100,4410100,3037000,526000,4298500,27615300
Utah,1871500,202100,329600,310900,N/A,315500,3074900
Vermont,305600,48500,131800,100800,11500,23900,622100
Virginia,4497100,452500,931200,1156500,382700,725700,8145700
Washington,3697000,517000,1526100,986200,131800,435300,7293300
West Virginia,847800,55900,450900,336900,23200,98400,1813100
Wisconsin,3314600,271000,867500,836400,112300,359900,5761800
Wyoming,322800,35600,70100,79000,14500,49200,571200
,,,,,,,
Notes,,,,,,,
"For 2020, the majority of our health coverage topics are based on analysis of the Census Bureau’s March Supplement to the Current Population Survey (the CPS Annual Social and Economic Supplement or ASEC). Previously, our source for these data was the Census Bureau’s American Community Survey (ACS); however, release of the ACS data has been delayed due to the coronavirus pandemic.  Although health coverage and population estimates using ACS are still available for 2008-2019, the 2020 data from CPS cannot be compared to prior year estimates from ACS. Due to known data quality issues with the 2019 CPS ASEC data, which was collected in March 2020 just at the onset of the pandemic and experienced low response rates, we have chosen not to report the 2019 data. We provide trend data for 2016, 2018, and 2020 using the CPS.",,,,,,,
,,,,,,,
"In this analysis, income (mostly categorized as a percent of the federal poverty level) is aggregated by Census-defined family units. Analyzing income by family unit captures income available to a group of people who are likely sharing resources. However, family units may not be the appropriate measure for capturing eligibility for health insurance. Eligibility for health insurance is more accurately estimated using ""health insurance units,"" which may be counted differently for different types of insurance (such as Medicaid or employer coverage).",,,,,,,
,,,,,,,
Data exclude a small number of people with private coverage of an unknown source. Data may not sum to totals due to rounding and the exclusion of these people.,,,,,,,
,,,,,,,
Data may not sum to totals due to rounding.,,,,,,,
,,,,,,,
Sources,,,,,,,
"KFF estimates based on the Census Bureau's March Current Population Survey (CPS: Annual Social and Economic Supplements), 2017-2021.",,,,,,,
,,,,,,,
Definitions,,,,,,,
"The ASEC asks respondents about their health insurance coverage throughout the previous calendar year. Respondents may report having more than one type of coverage. In this analysis, individuals are sorted into only one category of insurance coverage using the following hierarchy:",,,,,,,
,,,,,,,
"*Medicaid*: Includes those covered by Medicaid, the Children’s Health Insurance Program (CHIP), and those who have both Medicaid and another type of coverage, such as dual eligibles who are also covered by Medicare.",,,,,,,
,,,,,,,
"*Medicare*: Includes those covered by Medicare, Medicare Advantage, and those who have Medicare and another type of non-Medicaid coverage where Medicare is the primary payer. Excludes those with Medicare Part A coverage only and those covered by Medicare and Medicaid (dual eligibles).",,,,,,,
,,,,,,,
*Employer*: Includes those covered by employer-sponsored coverage either through their own job or as a dependent in the same household.,,,,,,,
,,,,,,,
*Other Public*: Includes those covered under the military or Veterans Administration.,,,,,,,
,,,,,,,
*Non-Group*: Includes individuals and families that purchased or are covered as a dependent by non-group insurance.,,,,,,,
,,,,,,,
*Uninsured*: Includes those without health insurance and those who have coverage under the Indian Health Service only.,,,,,,,
,,,,,,,
"For example, a person having Medicaid coverage in the first half of the year but employer-based coverage in the last months of the year would be categorized as having Medicaid coverage in this analysis.",,,,,,,
,,,,,,,
*N/A*: Estimates with relative standard errors greater than 30% are not provided.,,,,,,,
